="",="(1)",="",="(2)",="",="(3)",=""
="",="",="",="",="",="",=""
="1._at",="0.931",="(0.011)",="0.009",="(0.003)",="0.060",="(0.010)"
="2._at",="0.817",="(0.144)",="0.031",="(0.006)",="0.153",="(0.143)"
="3._at",="0.612",="(0.437)",="0.098",="(0.127)",="0.290",="(0.400)"
="4._at",="0.277",="(0.440)",="0.467",="(0.309)",="0.256",="(0.416)"
="5._at",="0.090",="(0.231)",="0.738",="(0.269)",="0.172",="(0.246)"
="6._at",="0.018",="(0.100)",="0.909",="(0.217)",="0.073",="(0.160)"
="7._at",="0.916",="(0.016)",="0.009",="(0.003)",="0.075",="(0.016)"
="8._at",="0.526",="(0.259)",="0.025",="(0.007)",="0.449",="(0.257)"
="9._at",="0.166",="(0.184)",="0.030",="(0.007)",="0.804",="(0.184)"
="10._at",="0.097",="(0.047)",="0.036",="(0.017)",="0.868",="(0.046)"
="11._at",="0.077",="(0.038)",="0.066",="(0.095)",="0.857",="(0.090)"
="12._at",="0.066",="(0.045)",="0.132",="(0.260)",="0.801",="(0.238)"
="Standard errors in parentheses"
