"Investing.Company","stateab","newstext"
"5D Composite","FL","The award has been granted only 10 times since 1981.Last week, at a meeting of the EDC's board of directors, the organization's new president and chief executive officer, Mark Huey, said four more incentive deals are in the pipeline that would bring in a combined 500 jobs to Sarasota County during the next five years.Aso establishes subsidiary  Aso LLC, an adhesive bandage and wound care product manufacturer, will establish its subsidiary business Millenium Coating LLC in Sarasota, bringing 50 jobs to the area over the next five years.Sarasota County government approved $125,000 in performance-based incentives to attract Aso to the area.The Sarasota EDC approved $100,000 in performance-based incentive grants to attract 5D the area.It's even better when we can report that the job growth is coming from both local expansions and relocations from elsewhere.In its fourth expansion in Sarasota County since 1991, Aso LLC will locate its Millenium Coating LLC subsidiary in Sarasota County, a move that will add 50 new jobs over five years, according to Charles Hart, Aso vice president of sales and marketing.Sarasota County government recently approved a performance-based incentive grant of $125,000 to facilitate the company's expansion.Sarasota County government recently approved a performance-based incentive grant of $100,000 to facilitate the company's relocation.It's even better when we can report that the job growth is coming from both local expansions and relocations from elsewhere.In its fourth expansion in Sarasota County since 1991, Aso LLC will locate its Millenium Coating LLC subsidiary in Sarasota County, a move that will add 50 new jobs over five years, according to Charles Hart, Aso vice president of sales and marketing.Sarasota County government recently approved a performance-based incentive grant of $125,000 to facilitate the company's expansion.Sarasota County government recently approved a performance-based incentive grant of $100,000 to facilitate the company's relocation.It's even better when we can report that the job growth is coming from both local expansions and relocations from elsewhere.In its fourth expansion in Sarasota County since 1991, Aso LLC will locate its Millenium Coating LLC subsidiary in Sarasota County, a move that will add 50 new jobs over five years, according to Charles Hart, Aso vice president of sales and marketing.Sarasota County government recently approved a performance-based incentive grant of $125,000 to facilitate the company's expansion.Sarasota County government recently approved a performance-based incentive grant of $100,000 to facilitate the company's relocation.The 164 jobs the company is promising in return for about $1 million in incentives and tax refunds would have an average salary of $72,100.The company is getting a $100,000 performance-based grant from Sarasota County government.Aso, which is receiving a performance-based grant of $125,000, also is an example of ""economic gardening,"" another economic-development catchphrase.There will be plenty of people who will argue that the $125,000 Aso is getting as an incentive to do its expansion here rather than somewhere else is money that, in these difficult economic times, should be saved.County government recently approved a performance-based incentive grant of $100,000 to facilitate the company’s relocation.Said Nora Patterson, Sarasota County Commission chairwoman: “5D Composite’s relocation to the county from Canada reinforces our economic development effort to convert visitors and tourists into employers and new jobs.”In addition, the Sarasota County Commission recently approved a $100,000 performance- based incentive grant for 5D, which is an offshoot of an Ontario-based company called Mastercore System.Rekert was unavailable to share when the company plans its relocation, but it is already advertising for four positions: sales manager, mechanical engineer, chemical engineer and tool and die maker.County government recently approved a performance-based incentive grant of $100,000 to facilitate the company’s relocation.Said Nora Patterson, Sarasota County Commission chairwoman: “5D Composite’s relocation to the county from Canada reinforces our economic development effort to convert visitors and tourists into employers and new jobs.”The Ontario, Canada-based company, 5D Composite Inc., is getting a performance-based incentive grant of $100,000 from the Sarasota County government."
"ABB","VA","Though usually funded by the state Department of Vocational Rehabilitation in other places, the Supported Employment program at The Arc will be funded with donations from local private foundations, Fowler said.McDonnell approved a $200,000 grant from the Governor's Opportunity Fund for the project.The Virginia Tobacco Indemnification and Community Revitalization Commission also approved a $600,000 grant.McDonnell approved a $200,000 grant from the Governor's Opportunity Fund for the project.The Virginia Tobacco Indemnification and Community Revitalization Commission also approved a $600,000 grant.ABB is a subsidiary of ABB Ltd., headquartered in Zurich, Switzerland.“We are thrilled the Commonwealth of Virginia offered the pro-business environment and assistance needed to win this expansion project, and thank all of the important players involved.”ABB Inc. is a subsidiary of ABB Ltd., headquartered in Zurich, Switzerland.Governor McDonnell approved a $200,000 grant from the Governor’s Opportunity Fund to assist Halifax County with the project.Through its Virginia Jobs Investment Program, the Virginia Department of Business Assistance (VDBA) will provide funding and services to support the company’s recruitment and training activities.ABB will not draw upon the Governor’s Opportunity Fund or Tobacco Commission funding until the second phase of the improvements has been approved during 2012.“We are grateful to our state funding partners and the entire management team of the local ABB operation that worked tirelessly for months on our behalf to win this project and help secure the continued growth of ABB.Gov. Bob McDonnell approved a $200,000 grant from the Governor’s Opportunity Fund to help Halifax with the project.ABB will not have access to either incentive until the second phase of the investment is approved in 2012.p=WORLDNEWS&docref=news/1382DD444CB15038›  Relay for Life held in Bland County June 28, 2011 | Bland County Messenger, The (Marion, VA) Author: Wayne Quesenberry Section: NEWS 365 Words OpenURL Link   By WAYNE QUESENBERRY/Staff   While the Bland County Relay for Life missed its goal this year, the fundraiser for the American Cancer Society took in $63,618.52."
"Abengoa Bioenergy","KS","GCCC to offer electrician help   A six-hour training session covering the fundamentals of fire alarm systems for electricians or others in the construction industry will be offered by the Business and Industry Institute at Garden City Community College.Energy alliance gets $4.8M grant   WICHITA -- The Kansas Alliance for Biorefining and Bioenergy (KABB) has received a $4.8 million grant from the Kansas Department of Commerce to help fund projects that improve the harvesting, storage and transportation of biomass for energy purposes.The funds are being invested into a fleet of advanced harvesting equipment that demonstrates more cost effective and more efficient methods for moving bioenergy feedstocks to markets and processing plants.The Kansas Department of Commerce's investment is comprised of American Recovery and Renewal Act (ARRA) funds.""We'd like to thank Governor Brownback and the Kansas Department of Commerce for this grant, which will help make alternative energy from biological resources a viable option for consumers,"" said Jeff Roskam, KABB's CEO.Initial funding for KABB was a $4.1 million investment from the Kansas Bioscience Authority through the Centers of Innovation Program.ABBK's parent company and project sponsor, Abengoa Bioenergy US Holding Inc., estimates the project will fund approximately 300 construction jobs and 65 permanent jobs.Abengoa, a Spain-based bioenergy refinery company, announced Tuesday that its subsidiary, Abengoa Bioenergy, received its Prevention of Significant Deterioration Air Quality Construction Permit from the state on Friday.McCullough, a 4-H alumnus from Merrick County, Neb., brings more than 20 years of experience in fund development, strategic brand communications and ag relations.Here in Kansas, producers in eligible counties of two distinct project areas can receive USDA funds to  begin growing new crops.The scholarship program is funded primarily through private contributions and income generated by the Beefeater Barbecue held in the Sam Fulco Pavilion prior to the premium sale.Deadline extended for crop assistance program The sign-up deadline to participate in the new Biomass Crop Assistance Program has been extended one week.Kreps said the uniqueness of USDA having a rural emphasis is that innovators in Southwest Kansas have opportunities to access funding to get companies going, something she said doesn’t exist anywhere else.“It takes a couple of years for that crop to develop, but the assistance program is out there."
"Achilles","WA","Manufactures aerospace and aircraft parts   Quality Industrial Services; Sheet metal, welding; Everett; 425-348-8825; Fabrication, manufacturing assistance via subcontractors, DI-9000 certified machine shops   Qualtest Consultants Inc.; Consulting, design; Everett; n/a; Provides nondestructive inspection/NDT Level III consulting and training services   Rockwell Collins; Manufacturing; Bothell; rockwellcollins.comIn October, employees from Kittitas Valley Community Hospital's imaging department organized a fundraiser at Ellensburg's American Legion Hall that drew about 150 to 175 people and raised $16,500 to help the family.The prize for best booth this year at Central Washington University's Ware Fair was presented to three of Maddie's friends from Mount Stuart Elementary School who spent about six weeks making Christmas ornaments by hand to sell as a fundraiser for Maddie.As part of their prize, they were awarded a free booth at next year's Ware Fair and plan to sell ornaments to raise funds for the Ronald McDonald House where Maddie is staying while she undergoes chemotherapy treatment.Eric Lueders said the money raised through fundraisers has helped his family financially."
"Achilles","WA",""
"Achilles","WA","""I've become a lot more appreciative for things that I would have otherwise taken for granted,"" Babcock said."
"Achilles","WA","The Phillies, yet another team he's spent time with over his 21 seasons, granted him that wish for $1.25 million.With the energy efficiency initiatives Achilles USA took, Snohomish County PUD expects to offer the company about $16,000 in incentives based on projected energy savings."
"Air Liquide","CA",""
"Almag Aluminum","AL","* Approved resolutions to grant alcohol licenses to Dollar General stores on U.S. 72 and South Jefferson Street.* Approved the submittal of a pre-application for SRF loan funding to finance the water treatment plant rehab and upgrade project.meeting Monday:   * Granted a tax abatement to Jarah Holdings Corp. doing business as Almag Aluminum Corp.   * Received a grant from the Hazard Mitigation Grant Program for $105,560 to be used for warning sirens   * Awarded a bid for uniforms for the sheriff’s office dispatch and jail to Nafeco for $93.75.Cit at ion (ag lc St yle )               'Meeting notes', Decatur Daily, The (online), 20 Dec 2011               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13BC2F1EDE72EC00›  County approves tax abatement for aluminum company December 20, 2011 | News-Courier, The (Athens, AL) Author: Adam Smith; adam@athensnews-courier.com Section: Local News 460 Words OpenURL Link   A Canadian company looking to open shop locally was welcomed Monday in the form of tax abatements approved by the Limestone County Commission.Commissioners unanimously agreed to tax breaks for Jarah Holdings Corp. and its subsidiary Almag Aluminum Corp., which wants to open a facility in the Dekko Industrial Park in Ardmore.In other business, the Commission approved a $105,560 matching-grant agreement that will provide four new warning sirens.Rita White, director of the Limestone County Emergency Management Agency, said the request for the fund dates back to August 2010.Cit at ion (ag lc St yle )               Adam Smith, adam@athensnews-courier.com, 'County approves tax abatement for aluminum               company', News-Courier, The (online), 20 Dec 2011               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13BC33A9959E3DA0›  Limestone to vote on Ardmore abatement December 18, 2011 | Decatur Daily, The (AL) Author: Ben Montgomery Section: Local News 419 Words OpenURL Link   Limestone County officials say they are considering a tax abatement for a Canadian company that could bring much-needed industry to Ardmore.The Limestone County Commission will vote Monday on a tax abatement for Ontario-based Almag Aluminum Corp., which has plans to purchase a 30,000-square-foot building in the Dekko Industrial Park and could hire 20 to 30 workers in its first three years of operation, according to Limestone Economic Development Association Executive Director Tom Hill.""In order to entice industries to come here, the county commission will do tax abatements,"" Hill said.Hill said the commission will vote on granting Almag an $1,800-a-year abatement in real and personal property taxes.Almag also could be granted a one-time abatement of $4,000 for construction-related transaction taxes incurred during its construction period, which would take about a year.Hill said no entity can be granted abatements in education taxes.Last month, the Athens City Council approved $37,500 sales tax and $8,800 property tax abatements for the Athens Steelcase facility.Cit at ion (ag lc St yle )               Ben Montgomery, 'Limestone to vote on Ardmore abatement', Decatur Daily, The (online), 18 Dec               2011 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13BB8700E4A96FE0›  County to vote on abatement for Canadian company December 16, 2011 | News-Courier, The (Athens, AL) Author: Adam Smith; adam@athensnews-courier.com Section: Local News 247 Words OpenURL Link   ATHENS — The Limestone County Commission will vote Monday on a tax abatement for a Canadian company looking to open a facility in Ardmore."
"Alpina Productos Alimenticios","NY",""
